doctor_id,Doctor
26612,Matthew Smith
33648,Samantha Davies
37828,Tiffany Mitchell
22511,Kevin Wells
21259,Kathleen Hanna
37121,Taylor Newton
21958,Kelly Olson
36659,Suzanne Thomas
9260,Daniel Ferguson
14679,Heather Day
18733,John Duncan
11558,Douglas Mayo
22137,Kenneth Fletcher
37436,Theresa Freeman
32893,Roberta Stewart
25488,Maria Dougherty
13097,Erica Spencer
20614,Justin Kim
20637,Justin Moore Jr.
10636,Denise Galloway
22925,Krista Smith
14410,Gregory Smith
39123,Vanessa Newton
11419,Donna Martinez MD
35878,Stephanie Kramer
2372,Angela Contreras
39641,Wendy Glenn
15696,James Ellis
16259,Jared Bruce Jr.
4693,Brandy Mitchell
15357,Jacob Huynh
23167,Kristina Frazier
18794,John Hartman
14697,Heather Garcia
25095,Lynn Young
12786,Emma Allison
23702,Laura Myers
38698,Travis Parsons
7485,Christine Johnson
12763,Emily Taylor
40011,William Reynolds
17193,Jennifer Carter
26623,Matthew Thomas
26211,Mary Logan
23117,Kristin Martinez
9374,Daniel Murphy
12724,Emily Patterson
14808,Heather Smith
18989,John Smith
5868,Cameron Young
39239,Vicki Nguyen
26240,Mary Moss
601,Alexander Garcia
30721,Patrick Burns
21671,Kayla Powers
20306,Julia Cox
31121,Penny Pruitt
29266,Mrs. Lori Hurst PhD
36017,Stephen Carr
15330,Jacob Daniel
38858,Tyler Braun
8046,Cindy Ellis
26786,Megan Hahn
12911,Eric Kelly
17342,Jennifer Larson
39905,William Hess
30576,Patricia Dunn
15237,Jack Jackson
19200,Jonathan Drake
15104,Ian Benitez
16018,Jamie Baker
13168,Erika Jackson
1280,Amanda Garcia
31653,Raven Wong
8995,Cynthia Scott
25911,Mark Padilla
20497,Julie Ramirez
15399,Jacob Rich
25826,Mark Hartman Jr.
37906,Timothy Baker
24872,Lori Sanchez
8371,Connie Boyd
15971,James Tucker
20186,Juan Acevedo
20412,Julie Finley
28328,Miguel Parker
17719,Jermaine Peters
24494,Lisa Edwards
26634,Matthew Walker
14335,Gregory Hansen
17965,Jessica Cruz
32803,Robert Salazar
23394,Kyle Patterson
19001,John Summers
34475,Scott Grant
10132,David Ruiz
23412,Kyle Smith
16589,Jason Price
35810,Stephanie Clements
36270,Steven James
17581,Jeremiah Wolf
32910,Roberto Petersen
7317,Christina Hammond
30567,Patricia Colon
11177,Dominic Mitchell
39630,Wendy Davis
9230,Daniel Carson
13235,Erin Henderson MD
7616,Christopher Butler
33860,Samuel Robles
4024,Benjamin Webb
23274,Krystal Fox
5565,Bruce Garrett
19332,Jonathan Watson
7719,Christopher Guerra
36180,Steven Adams
39387,Victoria Patel
24906,Louis Bell
27403,Michael Baker
11527,Douglas Fleming
30722,Patrick Carter
34338,Sarah Shaffer
26404,Matthew Carter
5215,Brian Wagner
24941,Lucas Cole
20361,Julia Yoder
8723,Crystal Chavez
4796,Brenda Lopez
27477,Michael Cole
27661,Michael Larson
38484,Tracey Spence
36492,Susan Gibson
14056,Gerald Hooper
38252,Todd Sanchez
12501,Elizabeth Morales
22802,Kimberly Petersen
28470,Misty Garcia
27112,Melissa Fernandez
21000,Kari Moore
9975,David Hubbard
24759,Lonnie Morgan
39338,Victoria Gonzales
8081,Cindy White
11553,Douglas Li
24844,Lori Mendoza
33533,Ryan Ross
5218,Brian Walton
27423,Michael Berg
34453,Scott Davis
9431,Daniel Shelton
37011,Tara Moreno
23066,Kristie Morgan
19734,Joseph Jones
25566,Maria Tran
21951,Kelly Murphy
21095,Katherine Brown
12403,Elizabeth Frank
1148,Alyssa Edwards
17887,Jesse Thomas
13082,Erica Mccormick
1536,Amber Holmes
3653,Austin Jackson
34818,Shane Morris
4911,Brent Smith
21621,Kayla Davis
33258,Rose Zuniga
13351,Ethan Wagner
31325,Phillip Williams
26664,Maureen Hill
14873,Heidi Compton MD
22701,Kimberly Gonzalez
31835,Rebecca Morgan
33605,Sabrina Rogers
22301,Kevin Brown
34175,Sarah Cole
17279,Jennifer Hall
12626,Emily Cruz
27385,Michael Anderson
29570,Natalie Sellers
30792,Patrick Ochoa
9413,Daniel Rodgers
37048,Taylor Baldwin
288,Adam Ross
1851,Amy Williams
25997,Martha Graham
